symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
ORM,2026-03-04,0.013170272812793815,0.0153766811553347,True,0.0,BUY,BUY,1375.2199999999882,1375.2199999999882,101375.21999999999,101375.21999999999
ORM,2026-03-05,0.002785515320334442,0.0011362529440413,True,0.0,BUY,BUY,294.6900000000112,294.6900000000112,101669.91,101669.91
ORM,2026-03-06,-0.012962962962963065,-0.0025427794781294,True,0.0,SHORT,SHORT,1375.2200000000055,1375.2200000000055,103045.13,103045.13
ORM,2026-03-09,-0.09474671669793622,-0.0016684478309727,True,0.0,SHORT,SHORT,9921.229999999998,9921.229999999998,112966.36,112966.36
ORM,2026-03-10,0.07979274611398957,0.0025185967590623,True,0.0,BUY,BUY,7563.7099999999955,7563.7099999999955,120530.07,120530.07
ORM,2026-03-11,-0.008637236084452993,-0.0006244205653134,True,0.0,SHORT,SHORT,884.0699999999986,884.0699999999986,121414.14,121414.14
ORM,2026-03-12,0.0,0.0006700008289002,False,0.0,BUY,HOLD,0.0,0.0,121414.14,121414.14
ORM,2026-03-13,0.0,-0.0026042594377641,False,0.0,SHORT,HOLD,-0.0,0.0,121414.14,121414.14
ORM,2026-03-16,0.00871248789932233,0.0034342414481674,True,0.0,BUY,BUY,884.0699999999986,884.0699999999986,122298.20999999999,122298.20999999999
ORM,2026-03-17,-0.040307101727447225,0.0021623759175007,False,8251.319999999998,BUY,SHORT,-4125.659999999999,4125.659999999999,118172.55,126423.87
ORM,2026-03-18,0.026999999999999913,0.0010139716248455,True,0.0,BUY,BUY,2652.209999999996,2652.209999999996,120824.76,129076.07999999999
ORM,2026-03-19,-0.008763388510223957,0.0002098278419372,False,1768.1399999999971,BUY,SHORT,-884.0699999999986,884.0699999999986,119940.69,129960.15
ORM,2026-03-24,0.005893909626719207,-0.0002752925957932,False,1178.7600000000098,SHORT,BUY,-589.3800000000049,589.3800000000049,119351.31,130549.53
ORM,2026-03-25,-0.0185546875,0.0002696452708551,False,3732.7399999999902,BUY,SHORT,-1866.3699999999951,1866.3699999999951,117484.94,132415.9
ORM,2026-03-26,-0.009950248756219082,0.001219127542912,False,1964.6000000000279,BUY,SHORT,-982.3000000000139,982.3000000000139,116502.63999999998,133398.2
ORM,2026-03-27,0.004020100502512669,0.0010360603182248,True,0.0,BUY,BUY,392.92000000000905,392.92000000000905,116895.56,133791.12000000002
ORM,2026-03-30,0.01301301301301283,0.0006785747414014,True,0.0,BUY,BUY,1276.9899999999902,1276.9899999999902,118172.54999999999,135068.11000000002
ORM,2026-03-31,0.000988142292490224,0.00047129096561,True,0.0,BUY,BUY,98.23000000001535,98.23000000001535,118270.78,135166.34000000003
ORM,2026-04-01,0.024679170779861703,0.0001809955082433,True,0.0,BUY,BUY,2455.75,2455.75,120726.53,137622.09000000003
ORM,2026-04-02,-0.030828516377649384,0.0005668537647452,False,6286.720000000006,BUY,SHORT,-3143.360000000003,3143.360000000003,117583.16999999998,140765.45
ORM,2026-04-03,0.008946322067594492,0.0005668537647452,True,0.0,BUY,BUY,884.0699999999986,884.0699999999986,118467.23999999999,141649.52000000002
ORM,2026-04-06,0.020689655172413612,0.0003990495683231,True,0.0,BUY,BUY,2062.829999999991,2062.829999999991,120530.06999999998,143712.35000000003
ORM,2026-04-07,-0.02413127413127414,0.000315647649383,False,4911.5,BUY,SHORT,-2455.75,2455.75,118074.31999999998,146168.10000000003
ORM,2026-04-08,0.049455984174085144,0.0005929131092189,True,0.0,BUY,BUY,4911.5,4911.5,122985.81999999998,151079.60000000003
ORM,2026-04-09,0.005655042412818112,0.0005929131092189,True,0.0,BUY,BUY,589.3800000000049,589.3800000000049,123575.19999999998,151668.98000000004
