symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
JKSM,2026-03-04,0.0,-0.0085596741053438,True,0.0,HOLD,HOLD,0.0,0.0,100000.0,100000.0
JKSM,2026-03-05,0.0,-0.0138661087286279,True,0.0,HOLD,HOLD,0.0,0.0,100000.0,100000.0
JKSM,2026-03-06,0.006447831184056341,-0.0023177374230697,False,586.0800000000054,HOLD,BUY,0.0,586.0800000000054,100000.0,100586.08
JKSM,2026-03-09,-0.09383291270303495,-0.0095140090556093,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,100586.08
JKSM,2026-03-10,0.0,-0.0091543203744399,True,0.0,HOLD,HOLD,0.0,0.0,100000.0,100586.08
JKSM,2026-03-11,0.0,0.0016672116701777,False,0.0,BUY,HOLD,0.0,0.0,100000.0,100586.08
JKSM,2026-03-13,0.0,-0.0063074069685222,True,0.0,HOLD,HOLD,0.0,0.0,100000.0,100586.08
JKSM,2026-03-17,0.0,0.000293618422993,False,0.0,BUY,HOLD,0.0,0.0,100000.0,100586.08
JKSM,2026-03-18,0.09676497893308578,-0.0069103136270028,False,8021.600000000007,HOLD,BUY,0.0,8021.600000000007,100000.0,108607.68000000001
JKSM,2026-03-19,0.10001302252897504,-0.0066749357786305,False,9093.119999999992,HOLD,BUY,0.0,9093.119999999992,100000.0,117700.8
JKSM,2026-03-24,0.09518172132117919,-0.0047832013642406,False,9519.360000000008,HOLD,BUY,0.0,9519.360000000008,100000.0,127220.16
JKSM,2026-03-25,-0.03702302453788797,-0.0103072630363674,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,127220.16
JKSM,2026-03-26,-0.033451198293764306,0.00085552800956,False,3528.319999999988,BUY,HOLD,-3528.319999999988,-0.0,96471.68000000001,127220.16
JKSM,2026-03-27,0.0,-0.006871389177669,True,0.0,HOLD,HOLD,0.0,0.0,96471.68000000001,127220.16
JKSM,2026-03-30,0.0,-0.0071608372859758,True,0.0,HOLD,HOLD,0.0,0.0,96471.68000000001,127220.16
JKSM,2026-03-31,0.0,0.0029223961978603,False,0.0,BUY,HOLD,0.0,0.0,96471.68000000001,127220.16
JKSM,2026-04-01,0.0,-0.0074563131963422,True,0.0,HOLD,HOLD,0.0,0.0,96471.68000000001,127220.16
JKSM,2026-04-02,0.0,-0.0066711782385052,True,0.0,HOLD,HOLD,0.0,0.0,96471.68000000001,127220.16
JKSM,2026-04-03,0.0,-0.0125517809588152,True,0.0,HOLD,HOLD,0.0,0.0,96471.68000000001,127220.16
JKSM,2026-04-06,0.0,-0.0016689524166037,True,0.0,HOLD,HOLD,0.0,0.0,96471.68000000001,127220.16
JKSM,2026-04-07,0.0,-0.0095905974570475,True,0.0,HOLD,HOLD,0.0,0.0,96471.68000000001,127220.16
JKSM,2026-04-08,0.0,-0.0099839050501995,True,0.0,HOLD,HOLD,0.0,0.0,96471.68000000001,127220.16
JKSM,2026-04-09,0.0,8.884782554443443e-05,False,0.0,BUY,HOLD,0.0,0.0,96471.68000000001,127220.16
