symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
KHYT,2026-03-04,0.0,-0.148420363338685,False,0.0,SHORT,HOLD,-0.0,0.0,100000.0,100000.0
KHYT,2026-03-05,0.023836428858536207,-0.1593140130121961,False,4714.500000000009,SHORT,BUY,-2357.2500000000045,2357.2500000000045,97642.75,102357.25
KHYT,2026-03-06,-0.0007037037037037619,-0.0965097814238336,True,0.0,SHORT,SHORT,71.25000000000341,71.25000000000341,97714.0,102428.50000000001
KHYT,2026-03-09,-0.014306363737444872,-0.1498021554539756,True,0.0,SHORT,SHORT,1447.4999999999966,1447.4999999999966,99161.5,103876.0
KHYT,2026-03-10,-0.01856739988719691,-0.1415284927965611,True,0.0,SHORT,SHORT,1851.750000000004,1851.750000000004,101013.25,105727.75000000001
KHYT,2026-03-12,0.0,-0.0992071216324416,False,0.0,SHORT,HOLD,-0.0,0.0,101013.25,105727.75000000001
KHYT,2026-03-16,0.026619465771688722,-0.0773618753082342,False,5211.000000000002,SHORT,BUY,-2605.500000000001,2605.500000000001,98407.75,108333.25000000001
KHYT,2026-03-17,0.0,0.0086216655716294,False,0.0,BUY,HOLD,0.0,0.0,98407.75,108333.25000000001
KHYT,2026-03-18,-0.0005672488431108791,-0.0222347836150857,True,0.0,SHORT,SHORT,56.99999999999932,56.99999999999932,98464.75,108390.25000000001
KHYT,2026-03-24,-0.027258334329071543,0.1100699134353628,False,5475.0,BUY,SHORT,-2737.5,2737.5,95727.25,111127.75000000001
KHYT,2026-03-25,0.014172309487616497,0.134122719261705,True,0.0,BUY,BUY,1384.5000000000027,1384.5000000000027,97111.75,112512.25000000001
KHYT,2026-03-26,-0.05358819076457222,0.228314251826529,False,10618.499999999995,BUY,SHORT,-5309.249999999997,5309.249999999997,91802.5,117821.50000000001
KHYT,2026-03-27,0.0,0.2020864351915828,False,0.0,BUY,HOLD,0.0,0.0,91802.5,117821.50000000001
KHYT,2026-03-30,0.0,0.2324183966650747,False,0.0,BUY,HOLD,0.0,0.0,91802.5,117821.50000000001
KHYT,2026-03-31,0.0,0.2619825416657322,False,0.0,BUY,HOLD,0.0,0.0,91802.5,117821.50000000001
KHYT,2026-04-01,0.07581926236392289,0.3016034049893306,True,0.0,BUY,BUY,7109.249999999997,7109.249999999997,98911.75,124930.75
KHYT,2026-04-02,0.0,0.3149178068366388,False,0.0,BUY,HOLD,0.0,0.0,98911.75,124930.75
KHYT,2026-04-03,0.0,0.3247730967979905,False,0.0,BUY,HOLD,0.0,0.0,98911.75,124930.75
KHYT,2026-04-07,-0.09450557620817834,0.3545145089313006,False,19066.499999999985,BUY,SHORT,-9533.249999999993,9533.249999999993,89378.5,134464.0
KHYT,2026-04-08,0.09334176321342635,0.3615091164958214,True,0.0,BUY,BUY,8525.999999999987,8525.999999999987,97904.5,142990.0
